Nama Lengkap,ASAL SMA,PILIHAN 1,,PILIHAN 2,,PILIHAN 3,,NILAI UTBK 1,,NILAI UTBK 2,,
Helen Turtan Setiawan,SMA Gandhi Ancol,UNIVERSITAS SYIAH KUALA,BUDIDAYA PERAIRAN,UNIVERSITAS SYIAH KUALA,BUDIDAYA PERAIRAN,UNIVERSITAS SYIAH KUALA,BUDIDAYA PERAIRAN,655.0,167.0,323.0,519.0,UNIVERSITAS INDONESIA
Ratnawati Sasongko,SMA Darul Hikam,UNIVERSITAS SYIAH KUALA,TEKNIK INDUSTRI,UNIVERSITAS SYIAH KUALA,TEKNIK INDUSTRI,UNIVERSITAS SYIAH KUALA,TEKNIK INDUSTRI,622.0,159.0,189.0,308.0,UNIVERSITAS ISLAM NEGERI JAKARTA
Era Helvani,SMAK Karunia,UNIVERSITAS SYIAH KUALA,INFORMATIKA,UNIVERSITAS SYIAH KUALA,INFORMATIKA,UNIVERSITAS SYIAH KUALA,INFORMATIKA,631.0,437.0,196.0,250.0,UNIVERSITAS NEGERI JAKARTA
Erna Widyastuti,SMA Arena Siswa 2,UNIVERSITAS SYIAH KUALA,FARMASI,UNIVERSITAS SYIAH KUALA,FARMASI,UNIVERSITAS SYIAH KUALA,FARMASI,635.8,525.0,826.0,642.0,"UPN ""VETERAN"" JAKARTA"
Sugiharto,SMA YASPI,UNIVERSITAS SYIAH KUALA,TEKNIK GEOFISIKA,UNIVERSITAS SYIAH KUALA,TEKNIK GEOFISIKA,UNIVERSITAS SYIAH KUALA,TEKNIK GEOFISIKA,506.1,403.0,282.0,200.0,UNIVERSITAS SINGAPERBANGSA KARAWANG
Ben Morice,"SMA Dharma Putra, Tangerang",UNIVERSITAS SYIAH KUALA,TEKNIK PERTAMBANGAN,UNIVERSITAS SYIAH KUALA,TEKNIK PERTAMBANGAN,UNIVERSITAS SYIAH KUALA,TEKNIK PERTAMBANGAN,689.0,130.0,176.0,259.0,INSTITUT TEKNOLOGI BANDUNG
Andy Nugroho Purwohardono,SMA Negeri 1 Temon,UNIVERSITAS SYIAH KUALA,STATISTIKA,UNIVERSITAS SYIAH KUALA,STATISTIKA,UNIVERSITAS SYIAH KUALA,STATISTIKA,581.0,210.0,810.0,809.0,UNIVERSITAS PADJADJARAN
Erwin Budisantosa,SMA Negeri 10 Pandeglang,UNIVERSITAS SYIAH KUALA,PEMANFAATAN SUMBERDAYA PERIKANAN,UNIVERSITAS SYIAH KUALA,PEMANFAATAN SUMBERDAYA PERIKANAN,UNIVERSITAS SYIAH KUALA,PEMANFAATAN SUMBERDAYA PERIKANAN,562.0,154.0,628.0,735.0,UNIVERSITAS PENDIDIKAN INDONESIA
Ken Ng,SMA PGRI 10,UNIVERSITAS SYIAH KUALA,ILMU TANAH,UNIVERSITAS SYIAH KUALA,ILMU TANAH,UNIVERSITAS SYIAH KUALA,ILMU TANAH,453.5,674.0,185.0,453.0,ISBI BANDUNG
Victor Sebastian Vaz,SMAN 1 Plumbon,UNIVERSITAS SYIAH KUALA,TEKNIK GEOLOGI,UNIVERSITAS SYIAH KUALA,TEKNIK GEOLOGI,UNIVERSITAS SYIAH KUALA,TEKNIK GEOLOGI,600.3,483.0,405.0,714.0,UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI
Sherper Ltd,SMA Negeri 1 Talun,UNIVERSITAS SYIAH KUALA,AGROTEKNOLOGI (PSDKU GAYO LUES),UNIVERSITAS SYIAH KUALA,AGROTEKNOLOGI (PSDKU GAYO LUES),UNIVERSITAS SYIAH KUALA,AGROTEKNOLOGI (PSDKU GAYO LUES),574.0,465.0,439.0,303.0,INSTITUT PERTANIAN BOGOR
Reza Alifa Zikra,SMA Angkasa 2 Jakarta,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BIOLOGI (PDSKU GAYO LUES),UNIVERSITAS SYIAH KUALA,PENDIDIKAN BIOLOGI (PDSKU GAYO LUES),UNIVERSITAS SYIAH KUALA,PENDIDIKAN BIOLOGI (PDSKU GAYO LUES),475.5,384.0,695.0,514.0,UNIVERSITAS SILIWANGI
Djoko Kartono,SMAK IPEKA Pluit,UNIVERSITAS SYIAH KUALA,KEHUTANAN (PSDKU GAYO LUES),UNIVERSITAS SYIAH KUALA,KEHUTANAN (PSDKU GAYO LUES),UNIVERSITAS SYIAH KUALA,KEHUTANAN (PSDKU GAYO LUES),631.8,641.0,121.0,711.0,UNIVERSITAS JENDERAL SOEDIRMAN
Darminto Hartono,SMA Kencana,UNIVERSITAS SYIAH KUALA,PROTEKSI TANAMAN,UNIVERSITAS SYIAH KUALA,PROTEKSI TANAMAN,UNIVERSITAS SYIAH KUALA,PROTEKSI TANAMAN,423.8,285.0,788.0,839.0,UNIVERSITAS TIDAR
Cecilia Tejowarno,SMA Wijaya Kusuma,UNIVERSITAS SYIAH KUALA,PERENCANAAN WILAYAH DAN KOTA,UNIVERSITAS SYIAH KUALA,PERENCANAAN WILAYAH DAN KOTA,UNIVERSITAS SYIAH KUALA,PERENCANAAN WILAYAH DAN KOTA,617.0,504.0,877.0,591.0,UNIVERSITAS SEBELAS MARET
Suhadi Zaini,SMA Negeri 34,UNIVERSITAS SYIAH KUALA,KEHUTANAN,UNIVERSITAS SYIAH KUALA,KEHUTANAN,UNIVERSITAS SYIAH KUALA,KEHUTANAN,624.0,143.0,776.0,171.0,ISI SURAKARTA
Harjanto Kusuma Halim,SMA Dewi Sartika,UNIVERSITAS SYIAH KUALA,TEKNIK KOMPUTER,UNIVERSITAS SYIAH KUALA,TEKNIK KOMPUTER,UNIVERSITAS SYIAH KUALA,TEKNIK KOMPUTER,580.0,688.0,161.0,257.0,UNIVERSITAS DIPONEGORO
Irwan Atmadja Dinata,SMA Santo Louis 1,UNIVERSITAS SYIAH KUALA,EKONOMI PEMBANGUNAN,UNIVERSITAS SYIAH KUALA,EKONOMI PEMBANGUNAN,UNIVERSITAS SYIAH KUALA,EKONOMI PEMBANGUNAN,483.0,290.0,392.0,709.0,UNIVERSITAS NEGERI SEMARANG
Abdul Rachman,SMA NEGERI 1 Sedayu,UNIVERSITAS SYIAH KUALA,MANAJEMEN,UNIVERSITAS SYIAH KUALA,MANAJEMEN,UNIVERSITAS SYIAH KUALA,MANAJEMEN,497.9,272.0,297.0,463.0,UNIVERSITAS ISLAM NEGERI WALISONGO
Jeffery Freshen Sihombing,SMA Negeri 1 Sirampog,UNIVERSITAS SYIAH KUALA,AKUNTANSI,UNIVERSITAS SYIAH KUALA,AKUNTANSI,UNIVERSITAS SYIAH KUALA,AKUNTANSI,512.8,707.0,369.0,825.0,UNIVERSITAS GADJAH MADA
Henry Kurli And Lin Konggui,SMA YASDA,UNIVERSITAS SYIAH KUALA,ILMU HUKUM,UNIVERSITAS SYIAH KUALA,ILMU HUKUM,UNIVERSITAS SYIAH KUALA,ILMU HUKUM,597.0,434.0,264.0,321.0,UNIVERSITAS NEGERI YOGYAKARTA
Douglas Vincent Tingey,SMA Ignatius Slamet Riyadi,UNIVERSITAS SYIAH KUALA,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,UNIVERSITAS SYIAH KUALA,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,UNIVERSITAS SYIAH KUALA,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,448.3,361.0,697.0,532.0,"UPN ""VETERAN"" YOGYAKARTA"
Nurbaiti,SMK Petra,UNIVERSITAS SYIAH KUALA,PENDIDIKAN SEJARAH,UNIVERSITAS SYIAH KUALA,PENDIDIKAN SEJARAH,UNIVERSITAS SYIAH KUALA,PENDIDIKAN SEJARAH,578.0,583.0,838.0,426.0,ISI YOGYAKARTA
James Budiono,SMA Negeri 1 Bulu,UNIVERSITAS SYIAH KUALA,PENDIDIKAN EKONOMI,UNIVERSITAS SYIAH KUALA,PENDIDIKAN EKONOMI,UNIVERSITAS SYIAH KUALA,PENDIDIKAN EKONOMI,459.6,824.0,228.0,339.0,UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA
Liem Kong Shiung,SMA Negeri 68,UNIVERSITAS SYIAH KUALA,PENDIDIKAN GEOGRAFI,UNIVERSITAS SYIAH KUALA,PENDIDIKAN GEOGRAFI,UNIVERSITAS SYIAH KUALA,PENDIDIKAN GEOGRAFI,507.7,768.0,854.0,724.0,UNIVERSITAS JEMBER
Gareth Joh Lewis,SMA Negeri 1 Bandongan,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,295.0,329.0,616.0,456.0,UNIVERSITAS BRAWIJAYA
Jacky Afandi,SMA Negeri 13 Semarang,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BAHASA INGGRIS,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BAHASA INGGRIS,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BAHASA INGGRIS,548.0,219.0,536.0,370.0,UNIVERSITAS NEGERI MALANG
Indriany,SMA YMIK 1,UNIVERSITAS SYIAH KUALA,PENDIDIKAN SENI DRAMA TARI DAN MUSIK,UNIVERSITAS SYIAH KUALA,PENDIDIKAN SENI DRAMA TARI DAN MUSIK,UNIVERSITAS SYIAH KUALA,PENDIDIKAN SENI DRAMA TARI DAN MUSIK,668.0,123.0,627.0,138.0,UNIVERSITAS ISLAM NEGERI MALANG
Djoni Rion Gui,SMA Xaverius 2 Palembang,UNIVERSITAS SYIAH KUALA,PENDIDIKAN KESEJAHTERAAN KELUARGA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN KESEJAHTERAAN KELUARGA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN KESEJAHTERAAN KELUARGA,257.0,638.0,159.0,706.0,UNIVERSITAS AIRLANGGA
Philip Strachan Attwood,SMA Negeri 1 Panggul,UNIVERSITAS SYIAH KUALA,PEND. JASMANI KESEHATAN DAN REKREASI,UNIVERSITAS SYIAH KUALA,PEND. JASMANI KESEHATAN DAN REKREASI,UNIVERSITAS SYIAH KUALA,PEND. JASMANI KESEHATAN DAN REKREASI,413.0,777.0,768.0,528.0,INSTITUT TEKNOLOGI SEPULUH NOPEMBER
Djoko N. Labbaika,SMA Negeri 2 Sragen,UNIVERSITAS SYIAH KUALA,BIMBINGAN KONSELING,UNIVERSITAS SYIAH KUALA,BIMBINGAN KONSELING,UNIVERSITAS SYIAH KUALA,BIMBINGAN KONSELING,684.0,369.0,795.0,823.0,UNIVERSITAS NEGERI SURABAYA
Lijatini Setiono,SMAK Pancaran Berkat,UNIVERSITAS SYIAH KUALA,PENDIDIKAN GURU SEKOLAH DASAR,UNIVERSITAS SYIAH KUALA,PENDIDIKAN GURU SEKOLAH DASAR,UNIVERSITAS SYIAH KUALA,PENDIDIKAN GURU SEKOLAH DASAR,519.0,142.0,862.0,841.0,UNIVERSITAS TRUNOJOYO MADURA
Kirei Serly Agatha,SMA Muhammadiyah 1 Sampang,UNIVERSITAS SYIAH KUALA,PSIKOLOGI,UNIVERSITAS SYIAH KUALA,PSIKOLOGI,UNIVERSITAS SYIAH KUALA,PSIKOLOGI,361.0,169.0,645.0,540.0,"UPN ""VETERAN"" JAWA TIMUR"
Jusup Budihartono Prajogo,SMA Damai,UNIVERSITAS SYIAH KUALA,ILMU POLITIK,UNIVERSITAS SYIAH KUALA,ILMU POLITIK,UNIVERSITAS SYIAH KUALA,ILMU POLITIK,283.0,568.0,566.0,102.0,UNIVERSITAS ISLAM NEGERI SUNAN AMPEL SURABAYA
Denise Tjokrosaputro,SMA KP Cikalongwetan,UNIVERSITAS SYIAH KUALA,SOSIOLOGI,UNIVERSITAS SYIAH KUALA,SOSIOLOGI,UNIVERSITAS SYIAH KUALA,SOSIOLOGI,807.0,777.0,845.0,764.0,UNIVERSITAS TANJUNGPURA
Vivien Goh,SMALB Bina Putera,UNIVERSITAS SYIAH KUALA,ILMU KOMUNIKASI,UNIVERSITAS SYIAH KUALA,ILMU KOMUNIKASI,UNIVERSITAS SYIAH KUALA,ILMU KOMUNIKASI,542.0,337.0,125.0,479.0,UNIVERSITAS PALANGKARAYA
Leonard Pandy Phua,SMK BPK Penabur,UNIVERSITAS SYIAH KUALA,PENDIDIKAN GURU PAUD,UNIVERSITAS SYIAH KUALA,PENDIDIKAN GURU PAUD,UNIVERSITAS SYIAH KUALA,PENDIDIKAN GURU PAUD,886.0,135.0,318.0,211.0,UNIVERSITAS LAMBUNG MANGKURAT
Eka Sinto Kasih Tjia,SMA Negeri 1 Panggang,UNIVERSITAS SYIAH KUALA,ILMU PEMERINTAHAN,UNIVERSITAS SYIAH KUALA,ILMU PEMERINTAHAN,UNIVERSITAS SYIAH KUALA,ILMU PEMERINTAHAN,266.0,749.0,100.0,532.0,UNIVERSITAS MULAWARMAN
Razif Susanto,SMA Bina Tama Sleman,UNIVERSITAS SYIAH KUALA,EKONOMI ISLAM,UNIVERSITAS SYIAH KUALA,EKONOMI ISLAM,UNIVERSITAS SYIAH KUALA,EKONOMI ISLAM,232.0,380.0,393.0,318.0,INSTITUT TEKNOLOGI KALIMANTAN
Triana Soenryo,SMA Kelapa Dari,UNIVERSITAS SYIAH KUALA,MANAJEMEN (PSDKU GAYO LUES),UNIVERSITAS SYIAH KUALA,MANAJEMEN (PSDKU GAYO LUES),UNIVERSITAS SYIAH KUALA,MANAJEMEN (PSDKU GAYO LUES),140.0,631.0,699.0,727.0,UNIVERSITAS BORNEO TARAKAN
Sindy Agustania,SMAI Nahdhatul Wathan,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER HEWAN,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER HEWAN,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER HEWAN,407.0,451.0,791.0,732.0,UNIVERSITAS UDAYANA
James Rachman Adjimin,SMA Pergunas 1,UNIVERSITAS SYIAH KUALA,TEKNIK SIPIL,UNIVERSITAS SYIAH KUALA,TEKNIK SIPIL,UNIVERSITAS SYIAH KUALA,TEKNIK SIPIL,257.0,843.0,297.0,623.0,UNIVERSITAS PENDIDIKAN GANESHA
Budiarto Karim,SMAI Said Naum,UNIVERSITAS SYIAH KUALA,TEKNIK MESIN,UNIVERSITAS SYIAH KUALA,TEKNIK MESIN,UNIVERSITAS SYIAH KUALA,TEKNIK MESIN,740.0,321.0,643.0,212.0,ISI DENPASAR
Hadi Lukman,SMA Al Hikmah Surabaya,UNIVERSITAS SYIAH KUALA,TEKNIK KIMIA,UNIVERSITAS SYIAH KUALA,TEKNIK KIMIA,UNIVERSITAS SYIAH KUALA,TEKNIK KIMIA,529.0,309.0,558.0,738.0,UNIVERSITAS MATARAM
Tjoi Wilson,SMA PSKD 3,UNIVERSITAS SYIAH KUALA,ARSITEKTUR,UNIVERSITAS SYIAH KUALA,ARSITEKTUR,UNIVERSITAS SYIAH KUALA,ARSITEKTUR,120.0,491.0,612.0,166.0,UNIVERSITAS NUSA CENDANA
Susy Angkawijaya,SMA Kalam Kudus 2,UNIVERSITAS SYIAH KUALA,TEKNIK ELEKTRO,UNIVERSITAS SYIAH KUALA,TEKNIK ELEKTRO,UNIVERSITAS SYIAH KUALA,TEKNIK ELEKTRO,206.0,329.0,180.0,250.0,UNIVERSITAS TIMOR
Utama Halim,SMA Bina Bangsa,UNIVERSITAS SYIAH KUALA,AGROTEKNOLOGI,UNIVERSITAS SYIAH KUALA,AGROTEKNOLOGI,UNIVERSITAS SYIAH KUALA,AGROTEKNOLOGI,824.0,717.0,537.0,685.0,UNIVERSITAS HASANUDDIN
Andre Sukendra Atmadja,SMA Negeri 97,UNIVERSITAS SYIAH KUALA,AGRIBISNIS,UNIVERSITAS SYIAH KUALA,AGRIBISNIS,UNIVERSITAS SYIAH KUALA,AGRIBISNIS,437.0,458.0,408.0,159.0,UNIVERSITAS NEGERI MAKASSAR
Samin Tan,SMA Ilham Diakui Makassar,UNIVERSITAS SYIAH KUALA,PETERNAKAN,UNIVERSITAS SYIAH KUALA,PETERNAKAN,UNIVERSITAS SYIAH KUALA,PETERNAKAN,885.0,722.0,810.0,419.0,UNIVERSITAS ISLAM NEGERI ALAUDDIN
Iskandar Tanuwidjaja,SMA Kartika Siliwangi 3 Bandung,UNIVERSITAS SYIAH KUALA,TEKNOLOGI HASIL PERTANIAN,UNIVERSITAS SYIAH KUALA,TEKNOLOGI HASIL PERTANIAN,UNIVERSITAS SYIAH KUALA,TEKNOLOGI HASIL PERTANIAN,603.0,636.0,256.0,157.0,UNIVERSITAS SAM RATULANGI
Cakra Ciputra,SMA Advent,UNIVERSITAS SYIAH KUALA,TEKNIK PERTANIAN,UNIVERSITAS SYIAH KUALA,TEKNIK PERTANIAN,UNIVERSITAS SYIAH KUALA,TEKNIK PERTANIAN,459.0,643.0,350.0,439.0,UNIVERSITAS NEGERI MANADO
Sumet Jiaravanon,SMA Mahatma Gandhi,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BIOLOGI,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BIOLOGI,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BIOLOGI,680.0,147.0,602.0,551.0,UNIVERSITAS TADULAKO
Sun Moon Suhaimi,SMA Chartar Buana,UNIVERSITAS SYIAH KUALA,PENDIDIKAN MATEMATIKA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN MATEMATIKA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN MATEMATIKA,878.0,142.0,141.0,814.0,UNIVERSITAS SULAWESI BARAT
Lynda Tjandra Brasali,SMA IT Al-Multazam,UNIVERSITAS SYIAH KUALA,PENDIDIKAN FISIKA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN FISIKA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN FISIKA,312.0,327.0,588.0,782.0,UNIVERSITAS HALUOLEO
Iwan Rosadi Widyapranolo,SMA YP Mulia,UNIVERSITAS SYIAH KUALA,PENDIDIKAN KIMIA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN KIMIA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN KIMIA,122.0,618.0,510.0,374.0,UNIVERSITAS NEGERI GORONTALO
Tay Robinto,SMA Negeri 11 Tangerang,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER,182.0,423.0,875.0,275.0,UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA
Simson Panjaitan,SMA Negeri 41,UNIVERSITAS SYIAH KUALA,ILMU KEPERAWATAN,UNIVERSITAS SYIAH KUALA,ILMU KEPERAWATAN,UNIVERSITAS SYIAH KUALA,ILMU KEPERAWATAN,524.0,641.0,397.0,714.0,UNIVERSITAS PATTIMURA
Jessy Vishamkar Adnani,SMA Mardi Siswa,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER GIGI,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER GIGI,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER GIGI,545.0,115.0,285.0,346.0,UNIVERSITAS KHAIRUN
Manira Puri Syahieka,SMA Negeri 4 Bengkulu,UNIVERSITAS SYIAH KUALA,MATEMATIKA,UNIVERSITAS SYIAH KUALA,MATEMATIKA,UNIVERSITAS SYIAH KUALA,MATEMATIKA,527.0,644.0,808.0,255.0,UNIVERSITAS CENDERAWASIH
Solihin,SMA Wisuda,UNIVERSITAS SYIAH KUALA,FISIKA,UNIVERSITAS SYIAH KUALA,FISIKA,UNIVERSITAS SYIAH KUALA,FISIKA,893.0,623.0,747.0,859.0,UNIVERSITAS MUSAMUS MERAUKE
Bambang Hartono,SMA Darul Falah Cihampelas,UNIVERSITAS SYIAH KUALA,KIMIA,UNIVERSITAS SYIAH KUALA,KIMIA,UNIVERSITAS SYIAH KUALA,KIMIA,512.0,681.0,309.0,477.0,ISBI TANAH PAPUA
Joppy Robert Saerang,SMA Dr Wahidin Mlati,UNIVERSITAS SYIAH KUALA,BIOLOGI,UNIVERSITAS SYIAH KUALA,BIOLOGI,UNIVERSITAS SYIAH KUALA,BIOLOGI,892.0,327.0,345.0,290.0,UNIVERSITAS PAPUA
